Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Total Confirmed cases,%share of infected cases,1 / (% share of infected cases),Population Share,(Population share) / (% share of infected cases),Recovery Rate,Death Rate,Population,Infection Rate,Susceptible Population,Rate of change of susceptible population,Action,Reward
10-Mar-20,Delhi,4,0,0,0,4,66.66666667,0.015,8.59445833,0.128916875,0,0,16787941,2.38E-05,16787937,0,0,0
10-Mar-20,Maharashtra,2,0,0,0,2,33.33333333,0.03,57.5291825,1.725875475,0,0,112374333,1.78E-06,112374331,0,0,0
11-Mar-20,Delhi,5,0,0,0,5,83.33333333,0.012,8.59445833,0.1031335,0,0,16787941,2.98E-05,16787936,-5.96E-06,1,0
11-Mar-20,Maharashtra,2,0,0,0,2,33.33333333,0.03,57.5291825,1.725875475,0,0,112374333,1.78E-06,112374331,0,0,0
12-Mar-20,Delhi,6,0,0,0,6,35.29411765,0.028333333,8.59445833,0.243509653,0,0,16787941,3.57E-05,16787935,-5.96E-06,1,0
12-Mar-20,Maharashtra,11,0,0,0,11,64.70588235,0.015454545,57.5291825,0.889087366,0,0,112374333,9.79E-06,112374322,-8.01E-06,1,0
13-Mar-20,Delhi,7,0,1,1,7,33.33333333,0.03,8.59445833,0.25783375,14.28571429,14.28571429,16787941,4.17E-05,16787934,-5.96E-06,1,15652965.91
13-Mar-20,Maharashtra,14,0,0,0,14,66.66666667,0.015,57.5291825,0.862937738,0,0,112374333,1.25E-05,112374319,-2.67E-06,1,0
14-Mar-20,Delhi,7,0,1,1,7,33.33333333,0.03,8.59445833,0.25783375,14.28571429,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
14-Mar-20,Maharashtra,14,0,0,0,14,66.66666667,0.015,57.5291825,0.862937738,0,0,112374333,1.25E-05,112374319,0,0,0
15-Mar-20,Delhi,7,0,2,1,7,17.94871795,0.055714286,8.59445833,0.478834107,28.57142857,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
15-Mar-20,Maharashtra,32,0,0,0,32,82.05128205,0.0121875,57.5291825,0.701136912,0,0,112374333,2.85E-05,112374301,-1.60E-05,1,0
16-Mar-20,Delhi,7,0,2,1,7,17.94871795,0.055714286,8.59445833,0.478834107,28.57142857,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
16-Mar-20,Maharashtra,32,0,0,0,32,82.05128205,0.0121875,57.5291825,0.701136912,0,0,112374333,2.85E-05,112374301,0,0,0
17-Mar-20,Delhi,8,0,2,1,8,17.0212766,0.05875,8.59445833,0.504924427,25,12.5,16787941,4.77E-05,16787933,-5.96E-06,1,15497215.37
17-Mar-20,Maharashtra,36,3,0,1,39,82.9787234,0.012051282,57.5291825,0.693300405,0,2.564102564,112374333,3.47E-05,112374294,-6.23E-06,1,76083788.27
18-Mar-20,Delhi,9,1,2,1,10,19.23076923,0.052,8.59445833,0.446911833,20,10,16787941,5.96E-05,16787931,-1.19E-05,1,15190348.14
18-Mar-20,Maharashtra,39,3,0,1,42,80.76923077,0.012380952,57.5291825,0.712266069,0,2.380952381,112374333,3.74E-05,112374291,-2.67E-06,1,73835170.53
19-Mar-20,Delhi,11,1,3,1,12,20.33898305,0.049166667,8.59445833,0.422560868,25,8.333333333,16787941,7.15E-05,16787929,-1.19E-05,1,14889557.32
19-Mar-20,Maharashtra,44,3,0,1,47,79.66101695,0.012553191,57.5291825,0.722174844,0,2.127659574,112374333,4.18E-05,112374286,-4.45E-06,1,70234183.64
20-Mar-20,Delhi,16,1,5,1,17,24.63768116,0.040588235,8.59445833,0.348833897,29.41176471,5.882352941,16787941,0.000101263,16787924,-2.98E-05,1,14163380.82
